meter_id,meter,model,feature_count,context_rows,regime_id,regime,normal_count,false_positive_count,rate
2,Steam,trees,137,10000,3,100–1k,583601,4065,0.006965375316354838
2,Steam,trees,137,10000,4,1k–10k,291800,544,0.001864290610006854
2,Steam,trees,137,10000,5,10k–100k,22637,3,0.00013252639484030569
2,Steam,trees,137,10000,6,100k–300k,462,0,0.0
2,Steam,trees,137,10000,7,≥300k,0,0,
2,Steam,trees,137,20000,0,0–1,113715,37398,0.32887481862551116
2,Steam,trees,137,20000,1,1–10,28581,1419,0.04964836779678808
2,Steam,trees,137,20000,2,10–100,260925,3788,0.014517581680559548
2,Steam,trees,137,20000,3,100–1k,583601,3685,0.00631424552048403
2,Steam,trees,137,20000,4,1k–10k,291800,598,0.0020493488690884166
2,Steam,trees,137,20000,5,10k–100k,22637,5,0.00022087732473384284
2,Steam,trees,137,20000,6,100k–300k,462,0,0.0
2,Steam,trees,137,20000,7,≥300k,0,0,
2,Steam,trees,137,50000,0,0–1,113715,34660,0.30479708042034914
2,Steam,trees,137,50000,1,1–10,28581,1581,0.055316468982890735
2,Steam,trees,137,50000,2,10–100,260925,3265,0.012513174283798027
2,Steam,trees,137,50000,3,100–1k,583601,2776,0.004756674508782541
2,Steam,trees,137,50000,4,1k–10k,291800,532,0.0018231665524331734
2,Steam,trees,137,50000,5,10k–100k,22637,5,0.00022087732473384284
2,Steam,trees,137,50000,6,100k–300k,462,0,0.0
2,Steam,trees,137,50000,7,≥300k,0,0,
2,Steam,trees,137,100000,0,0–1,113715,32614,0.28680473112606075
2,Steam,trees,137,100000,1,1–10,28581,1322,0.04625450474091179
2,Steam,trees,137,100000,2,10–100,260925,2376,0.009106064961195745
2,Steam,trees,137,100000,3,100–1k,583601,2669,0.004573330066261024
2,Steam,trees,137,100000,4,1k–10k,291800,514,0.0017614804660726524
2,Steam,trees,137,100000,5,10k–100k,22637,3,0.00013252639484030569
2,Steam,trees,137,100000,6,100k–300k,462,0,0.0
2,Steam,trees,137,100000,7,≥300k,0,0,
3,Hotwater,tabpfn,137,5000,0,0–1,101723,51372,0.5050185307157673
3,Hotwater,tabpfn,137,5000,1,1–10,48546,12418,0.2557986239854983
3,Hotwater,tabpfn,137,5000,2,10–100,135177,3107,0.022984679346338504
3,Hotwater,tabpfn,137,5000,3,100–1k,205426,2113,0.010285942383145268
3,Hotwater,tabpfn,137,5000,4,1k–10k,50056,127,0.0025371583826114753
3,Hotwater,tabpfn,137,5000,5,10k–100k,4451,24,0.0053920467310716695
3,Hotwater,tabpfn,137,5000,6,100k–300k,51,0,0.0
3,Hotwater,tabpfn,137,5000,7,≥300k,0,0,
3,Hotwater,tabpfn,137,10000,0,0–1,101723,41903,0.41193240466757763
3,Hotwater,tabpfn,137,10000,1,1–10,48546,8940,0.18415523421085156
3,Hotwater,tabpfn,137,10000,2,10–100,135177,2283,0.01688896779777625
3,Hotwater,tabpfn,137,10000,3,100–1k,205426,2494,0.012140624847877094
3,Hotwater,tabpfn,137,10000,4,1k–10k,50056,117,0.0023373821320121463
3,Hotwater,tabpfn,137,10000,5,10k–100k,4451,35,0.007863401482812851
3,Hotwater,tabpfn,137,10000,6,100k–300k,51,0,0.0
3,Hotwater,tabpfn,137,10000,7,≥300k,0,0,
3,Hotwater,tabpfn,137,20000,0,0–1,101723,35920,0.3531158145158912
3,Hotwater,tabpfn,137,20000,1,1–10,48546,2663,0.054855188893008694
3,Hotwater,tabpfn,137,20000,2,10–100,135177,1303,0.009639213771573566
3,Hotwater,tabpfn,137,20000,3,100–1k,205426,2304,0.011215717582000332
3,Hotwater,tabpfn,137,20000,4,1k–10k,50056,209,0.004175323637525971
3,Hotwater,tabpfn,137,20000,5,10k–100k,4451,98,0.022017524151875984
3,Hotwater,tabpfn,137,20000,6,100k–300k,51,4,0.0784313725490196
3,Hotwater,tabpfn,137,20000,7,≥300k,0,0,
3,Hotwater,tabpfn,137,50000,0,0–1,101723,31168,0.3064007156690227
3,Hotwater,tabpfn,137,50000,1,1–10,48546,2236,0.04605940757219956
3,Hotwater,tabpfn,137,50000,2,10–100,135177,1224,0.00905479482456335
3,Hotwater,tabpfn,137,50000,3,100–1k,205426,1889,0.009195525396006347
3,Hotwater,tabpfn,137,50000,4,1k–10k,50056,171,0.003416173885248522
3,Hotwater,tabpfn,137,50000,5,10k–100k,4451,146,0.03280161761401932
3,Hotwater,tabpfn,137,50000,6,100k–300k,51,6,0.11764705882352941
3,Hotwater,tabpfn,137,50000,7,≥300k,0,0,
3,Hotwater,tabpfn,137,100000,0,0–1,101723,28206,0.2772824238372836
3,Hotwater,tabpfn,137,100000,1,1–10,48546,1261,0.02597536357269394
3,Hotwater,tabpfn,137,100000,2,10–100,135177,894,0.006613551121862447
3,Hotwater,tabpfn,137,100000,3,100–1k,205426,1389,0.006761558906856971
3,Hotwater,tabpfn,137,100000,4,1k–10k,50056,196,0.003915614511746843
3,Hotwater,tabpfn,137,100000,5,10k–100k,4451,124,0.027858908110536956
3,Hotwater,tabpfn,137,100000,6,100k–300k,51,7,0.13725490196078433
3,Hotwater,tabpfn,137,100000,7,≥300k,0,0,
3,Hotwater,trees,137,5000,0,0–1,101723,46872,0.46078074771683886
3,Hotwater,trees,137,5000,1,1–10,48546,12666,0.26090718081819303
3,Hotwater,trees,137,5000,2,10–100,135177,4079,0.030175251707021164
3,Hotwater,trees,137,5000,3,100–1k,205426,1350,0.006571709520703319
3,Hotwater,trees,137,5000,4,1k–10k,50056,60,0.0011986575035959725
3,Hotwater,trees,137,5000,5,10k–100k,4451,30,0.006740058413839587
