meter_id,meter,model,context_rows,regime_id,regime,anomaly_count,baseline_detected_count,f1_detected_count,threshold
2,Steam,trees,50000,4,1k–10k,1418,1213,1140,0.7398369312286377
2,Steam,trees,50000,5,10k–100k,197,52,47,0.7398369312286377
2,Steam,trees,50000,6,100k–300k,70,2,0,0.7398369312286377
2,Steam,trees,50000,7,≥300k,3195,63,14,0.7398369312286377
2,Steam,trees,100000,0,0–1,38400,37274,28336,0.9072009325027466
2,Steam,trees,100000,1,1–10,250,58,0,0.9072009325027466
2,Steam,trees,100000,2,10–100,1215,505,273,0.9072009325027466
2,Steam,trees,100000,3,100–1k,4143,3528,2669,0.9072009325027466
2,Steam,trees,100000,4,1k–10k,1418,1215,846,0.9072009325027466
2,Steam,trees,100000,5,10k–100k,197,51,36,0.9072009325027466
2,Steam,trees,100000,6,100k–300k,70,1,0,0.9072009325027466
2,Steam,trees,100000,7,≥300k,3195,72,5,0.9072009325027466
3,Hotwater,tabpfn,5000,0,0–1,86220,79766,72138,0.8632552623748779
3,Hotwater,tabpfn,5000,1,1–10,526,108,9,0.8632552623748779
3,Hotwater,tabpfn,5000,2,10–100,1362,690,417,0.8632552623748779
3,Hotwater,tabpfn,5000,3,100–1k,2267,2002,1209,0.8632552623748779
3,Hotwater,tabpfn,5000,4,1k–10k,309,282,126,0.8632552623748779
3,Hotwater,tabpfn,5000,5,10k–100k,6,5,0,0.8632552623748779
3,Hotwater,tabpfn,5000,6,100k–300k,1,0,0,0.8632552623748779
3,Hotwater,tabpfn,5000,7,≥300k,0,0,0,0.8632552623748779
3,Hotwater,tabpfn,10000,0,0–1,86220,79271,71852,0.7924801111221313
3,Hotwater,tabpfn,10000,1,1–10,526,124,37,0.7924801111221313
3,Hotwater,tabpfn,10000,2,10–100,1362,709,543,0.7924801111221313
3,Hotwater,tabpfn,10000,3,100–1k,2267,1968,1634,0.7924801111221313
3,Hotwater,tabpfn,10000,4,1k–10k,309,274,217,0.7924801111221313
3,Hotwater,tabpfn,10000,5,10k–100k,6,5,0,0.7924801111221313
3,Hotwater,tabpfn,10000,6,100k–300k,1,0,0,0.7924801111221313
3,Hotwater,tabpfn,10000,7,≥300k,0,0,0,0.7924801111221313
3,Hotwater,tabpfn,20000,0,0–1,86220,78358,74124,0.6769630312919617
3,Hotwater,tabpfn,20000,1,1–10,526,118,75,0.6769630312919617
3,Hotwater,tabpfn,20000,2,10–100,1362,733,653,0.6769630312919617
3,Hotwater,tabpfn,20000,3,100–1k,2267,2069,1894,0.6769630312919617
3,Hotwater,tabpfn,20000,4,1k–10k,309,282,268,0.6769630312919617
3,Hotwater,tabpfn,20000,5,10k–100k,6,6,4,0.6769630312919617
3,Hotwater,tabpfn,20000,6,100k–300k,1,0,0,0.6769630312919617
3,Hotwater,tabpfn,20000,7,≥300k,0,0,0,0.6769630312919617
3,Hotwater,tabpfn,50000,0,0–1,86220,71805,67492,0.6563372611999512
3,Hotwater,tabpfn,50000,1,1–10,526,166,144,0.6563372611999512
3,Hotwater,tabpfn,50000,2,10–100,1362,817,687,0.6563372611999512
3,Hotwater,tabpfn,50000,3,100–1k,2267,2135,2053,0.6563372611999512
3,Hotwater,tabpfn,50000,4,1k–10k,309,296,284,0.6563372611999512
3,Hotwater,tabpfn,50000,5,10k–100k,6,6,5,0.6563372611999512
3,Hotwater,tabpfn,50000,6,100k–300k,1,1,0,0.6563372611999512
3,Hotwater,tabpfn,50000,7,≥300k,0,0,0,0.6563372611999512
3,Hotwater,tabpfn,100000,0,0–1,86220,68475,66403,0.5539127588272095
3,Hotwater,tabpfn,100000,1,1–10,526,163,154,0.5539127588272095
