sampling_profile,building_seed,building_budget,features,model,grouping,group,group_label,buildings,rows,anomalies,anomaly_rate,roc_auc,pr_auc,precision_0_5,recall_0_5,f1_0_5,tn_0_5,fp_0_5,fn_0_5,tp_0_5,row_seed,support_id,building_draw_seed
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,1,site 1,7,61469,2933,0.047715108428638825,0.8811758993541748,0.42949657479045417,0.29696243005595524,0.5066484827821344,0.37444878417538113,55018,3518,1447,1486,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,2,site 2,50,675821,76276,0.11286420516675273,0.9472713226674738,0.6213035836309292,0.5385368121047546,0.5772064607478106,0.5572015263021344,561819,37726,32249,44027,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,2,site 2,50,675821,76276,0.11286420516675273,0.9589764261164434,0.676686912848541,0.6335365429176653,0.8351775132413866,0.7205153000921795,562696,36849,12572,63704,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,6,site 6,15,187447,28605,0.15260313581972504,0.9696834796568359,0.894296415032736,0.6365660811689936,0.8893899667890229,0.7420338043779441,144317,14525,3164,25441,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,6,site 6,15,187447,28605,0.15260313581972504,0.9725502508991944,0.9046822738384237,0.6103352945346282,0.9029889879391715,0.7283647745537603,142351,16491,2775,25830,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,7,site 7,8,139716,8439,0.06040109937301383,0.9032445749170204,0.5339323567539805,0.20163398692810458,0.7311292807204645,0.3160941622480084,106847,24430,2269,6170,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,7,site 7,8,139716,8439,0.06040109937301383,0.892359337315222,0.3710818386968374,0.20955744998811263,0.7311292807204645,0.3257483765376696,108004,23273,2269,6170,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,9,site 9,50,833293,31468,0.03776342774990309,0.9909793734493866,0.9093880745772431,0.7965270137670601,0.8512774882420236,0.8229926726985054,794982,6843,4680,26788,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,9,site 9,50,833293,31468,0.03776342774990309,0.992450314709844,0.9265402588459344,0.8230258870919969,0.8830240244057456,0.8519699524758547,795850,5975,3681,27787,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,10,site 10,8,87112,15212,0.17462576912480485,0.8879187318993095,0.6583181333183574,0.41941979736958024,0.8762818827241652,0.5673064646550624,53448,18452,1882,13330,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,10,site 10,8,87112,15212,0.17462576912480485,0.8976269078068444,0.5982755409159075,0.388049013367282,0.9618064685774389,0.5529896439640184,48827,23073,581,14631,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,11,site 11,2,26160,194,0.007415902140672783,0.851032694618101,0.02340340433544958,0.03408087586085114,0.9948453608247423,0.06590404644015707,20496,5470,1,193,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,11,site 11,2,26160,194,0.007415902140672783,0.8551999204352083,0.030039015499302938,0.03420166578061315,0.9948453608247423,0.06612986123008395,20516,5450,1,193,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,13,site 13,53,702174,37855,0.05391113883453389,0.8730429952440351,0.2256453874283161,0.25187532686498426,0.8524105138026681,0.38885072846245616,568476,95843,5587,32268,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,13,site 13,53,702174,37855,0.05391113883453389,0.8765213110927468,0.23458954191766473,0.253734613548685,0.8565579183727381,0.3914975308791036,568953,95366,5430,32425,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,14,site 14,45,812410,66380,0.08170751221673786,0.936120470745948,0.6881639380777208,0.6649225372698041,0.6853570352515818,0.6749851632047478,723104,22926,20886,45494,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,14,site 14,45,812410,66380,0.08170751221673786,0.9426956857041207,0.7475119823278865,0.7268823617116446,0.7344380837601687,0.7306406893967778,727712,18318,17628,48752,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,15,site 15,45,482676,9311,0.019290372838094292,0.9854975708386116,0.6626082825027267,0.4483439920969168,0.9261089034475352,0.6041900224215246,462755,10610,688,8623,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,15,site 15,45,482676,9311,0.019290372838094292,0.9872176117675141,0.7434120037821214,0.4821836455002284,0.9068843303619375,0.6296089177198673,464297,9068,867,8444,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,lightgbm,meter,1,chilledwater,252,2115354,141139,0.06672122018347756,0.9600202082043013,0.5154196295982854,0.44683496647934706,0.9166070327832846,0.6007913398442398,1814061,160154,11770,129369,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,lightgbm,meter,1,chilledwater,252,2115354,141139,0.06672122018347756,0.9595493879217679,0.4969066760295079,0.47297560975609754,0.9102515959444236,0.6224961479198767,1831062,143153,12667,128472,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,lightgbm,meter,2,steam,162,1350609,48888,0.03619700446243139,0.9450061580083877,0.4829959519105212,0.46196610689364315,0.7393838978890526,0.5686441077917788,1259622,42099,12741,36147,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,lightgbm,meter,2,steam,162,1350609,48888,0.03619700446243139,0.9455993952782218,0.5947408601634275,0.4338927138912144,0.7102765504827361,0.5387031966303901,1256416,45305,14164,34724,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,lightgbm,meter,3,hotwater,73,636121,90691,0.14256878801360118,0.8724004337618751,0.46702508998812486,0.5001071570718565,0.5403402763228986,0.5194458283424671,496447,48983,41687,49004,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,lightgbm,meter,3,hotwater,73,636121,90691,0.14256878801360118,0.8815764402737778,0.4782347868511792,0.5099605493720204,0.5744120144225998,0.5402708925348987,495371,50059,38597,52094,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,lightgbm,overall,0,all,296,4102084,280718,0.06843302087426781,0.9409071565078042,0.48467438069952556,0.46058451206210976,0.7641832728930813,0.5747554502902982,3570130,251236,66198,214520,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,lightgbm,overall,0,all,296,4102084,280718,0.06843302087426781,0.9451680791532322,0.4856079676316682,0.4744087244136825,0.7669262391439096,0.5862019672577516,3582849,238517,65428,215290,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,lightgbm,site,0,site 0,13,93806,4045,0.043120909110291455,0.996212141378212,0.9599504208126821,0.543036420679307,0.9841779975278121,0.6998945147679325,86411,3350,64,3981,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,lightgbm,site,0,site 0,13,93806,4045,0.043120909110291455,0.9970344514244935,0.9798376423659401,0.6252757642609518,0.9809641532756489,0.7637378500625541,87383,2378,77,3968,1,building_seed0,0.0
